date-time,RF1,RF2,RF3,RF4,ANN1,ANN2,ANN3,ANN4,ANN5
21/03/2024 12:14:27,39,39,39,39,39,39,38,39,39
21/03/2024 12:14:30,37,37,37,37,37,37,37,37,37
21/03/2024 12:14:33,37,38,37,37,38,38,37,37,38
21/03/2024 12:14:36,37,38,37,34,39,39,39,39,39
21/03/2024 12:14:38,39,40,39,40,39,39,39,40,40
21/03/2024 12:14:41,38,38,38,38,37,38,36,36,36
21/03/2024 12:14:44,39,39,39,38,39,38,39,39,39
21/03/2024 12:14:47,39,39,39,39,39,38,38,38,39
21/03/2024 12:14:49,38,37,38,38,37,37,36,37,38
21/03/2024 12:14:52,39,39,39,38,39,39,39,39,39
21/03/2024 12:14:55,39,39,39,39,40,40,40,40,40
21/03/2024 12:14:57,40,39,39,40,39,39,39,39,39
21/03/2024 12:15:00,39,38,39,38,40,39,40,40,38
21/03/2024 12:15:03,40,39,39,40,39,40,40,40,40
21/03/2024 12:15:06,35,35,35,35,38,37,38,38,38
21/03/2024 12:15:09,40,39,40,40,38,39,36,39,39
21/03/2024 12:15:11,38,38,38,38,37,38,39,37,36
21/03/2024 12:15:14,36,37,36,36,39,38,38,37,38
21/03/2024 12:15:17,38,39,38,39,39,39,39,39,39
21/03/2024 12:15:19,38,39,38,38,40,40,40,40,40
21/03/2024 12:15:22,37,36,36,37,37,34,34,35,35
21/03/2024 12:15:24,37,37,37,37,38,38,39,39,39
21/03/2024 12:15:27,37,37,37,36,37,37,37,37,37
21/03/2024 12:15:30,39,40,39,40,39,40,40,40,40
21/03/2024 12:15:32,36,37,37,36,35,35,35,35,35
21/03/2024 12:15:34,39,39,39,39,39,39,39,39,39
21/03/2024 12:15:37,38,38,38,37,40,40,40,40,39
21/03/2024 12:15:40,37,36,38,38,38,38,38,38,39
21/03/2024 12:15:42,39,38,37,40,39,39,39,39,39
21/03/2024 12:15:45,39,39,39,39,38,38,37,38,38
21/03/2024 12:15:48,39,39,39,39,40,40,40,40,40
21/03/2024 12:15:51,39,39,38,38,39,39,39,39,39
21/03/2024 12:15:54,38,39,39,38,38,39,37,38,39
21/03/2024 12:15:57,37,39,37,38,37,39,39,39,40
21/03/2024 12:15:59,40,39,37,38,38,38,38,38,38
21/03/2024 12:16:02,38,39,38,38,39,40,39,39,38
21/03/2024 12:16:04,37,38,37,37,37,39,39,37,39
21/03/2024 12:16:07,40,38,39,40,39,39,39,39,39
21/03/2024 12:16:10,37,38,36,36,39,39,38,38,39
