date-time,ANN3,ANN4,ANN5
14/03/2024 22:53:09,32,32,32
14/03/2024 22:53:10,27,28,27
14/03/2024 22:53:12,30,30,28
14/03/2024 22:53:13,30,30,30
14/03/2024 22:53:15,30,31,30
14/03/2024 22:53:17,29,29,30
14/03/2024 22:53:18,30,31,30
14/03/2024 22:53:20,29,29,29
14/03/2024 22:53:22,29,30,29
14/03/2024 22:53:23,31,31,31
14/03/2024 22:53:25,32,31,31
14/03/2024 22:53:27,32,31,31
14/03/2024 22:53:28,30,30,30
14/03/2024 22:53:30,32,31,32
14/03/2024 22:53:31,31,31,31
14/03/2024 22:53:33,30,30,29
14/03/2024 22:53:34,31,31,31
14/03/2024 22:53:36,30,29,32
14/03/2024 22:53:38,31,31,31
14/03/2024 22:53:39,29,29,29
14/03/2024 22:53:41,31,30,29
14/03/2024 22:53:42,31,31,31
14/03/2024 22:53:44,31,32,32
14/03/2024 22:53:45,27,29,27
14/03/2024 22:53:47,30,31,31
14/03/2024 22:53:48,31,31,30
14/03/2024 22:53:50,30,31,31
14/03/2024 22:53:51,32,32,29
14/03/2024 22:53:53,31,32,30
14/03/2024 22:53:55,32,31,31
14/03/2024 22:53:56,30,28,28
14/03/2024 22:53:58,30,30,30
14/03/2024 22:53:59,31,31,31
14/03/2024 22:54:01,30,29,29
14/03/2024 22:54:02,28,26,28
14/03/2024 22:54:04,30,29,30
14/03/2024 22:54:05,31,30,31
14/03/2024 22:54:07,31,31,31
14/03/2024 22:54:08,26,27,27
14/03/2024 22:54:10,29,28,30
14/03/2024 22:54:12,32,32,32
14/03/2024 22:54:13,30,31,30
14/03/2024 22:54:15,30,30,30
14/03/2024 22:54:16,31,32,31
14/03/2024 22:54:18,32,31,31
14/03/2024 22:54:19,30,29,31
14/03/2024 22:54:21,30,30,30
14/03/2024 22:54:23,29,30,30
14/03/2024 22:54:24,32,32,32
14/03/2024 22:54:26,32,31,30
14/03/2024 22:54:28,31,31,30
14/03/2024 22:54:29,31,31,31
14/03/2024 22:54:31,29,29,31
14/03/2024 22:54:32,31,31,31
14/03/2024 22:54:34,31,30,31
14/03/2024 22:54:36,31,30,30
14/03/2024 22:54:37,29,29,29
14/03/2024 22:54:39,31,31,30
14/03/2024 22:54:40,28,28,29
14/03/2024 22:54:42,30,30,30
14/03/2024 22:54:43,32,31,32
14/03/2024 22:54:45,29,29,29
14/03/2024 22:54:46,31,30,30
