date-time,ANN3,ANN4,ANN5
14/03/2024 22:54:48,32,32,32
14/03/2024 22:54:50,29,30,31
14/03/2024 22:54:51,31,32,32
14/03/2024 22:54:53,31,32,32
14/03/2024 22:54:55,31,31,32
14/03/2024 22:54:56,32,32,31
14/03/2024 22:54:58,31,31,32
14/03/2024 22:55:00,32,31,31
14/03/2024 22:55:01,29,29,29
14/03/2024 22:55:03,31,31,32
14/03/2024 22:55:04,29,28,29
14/03/2024 22:55:06,32,32,32
14/03/2024 22:55:08,31,30,31
14/03/2024 22:55:09,30,30,29
14/03/2024 22:55:11,31,31,31
14/03/2024 22:55:12,31,31,30
14/03/2024 22:55:14,32,32,31
14/03/2024 22:55:15,31,32,31
14/03/2024 22:55:17,32,32,32
14/03/2024 22:55:18,29,30,29
14/03/2024 22:55:20,32,31,32
14/03/2024 22:55:21,30,30,30
14/03/2024 22:55:23,32,32,32
14/03/2024 22:55:25,31,31,31
14/03/2024 22:55:26,32,32,32
14/03/2024 22:55:28,32,32,32
14/03/2024 22:55:29,31,31,31
14/03/2024 22:55:31,32,32,31
14/03/2024 22:55:33,32,31,31
14/03/2024 22:55:34,30,30,30
14/03/2024 22:55:36,32,32,32
14/03/2024 22:55:38,29,30,30
14/03/2024 22:55:39,31,30,31
14/03/2024 22:55:41,29,29,29
14/03/2024 22:55:43,31,31,32
14/03/2024 22:55:44,31,32,32
14/03/2024 22:55:46,28,29,28
14/03/2024 22:55:48,32,32,32
14/03/2024 22:55:49,31,31,31
14/03/2024 22:55:51,32,32,32
14/03/2024 22:55:52,31,31,31
14/03/2024 22:55:54,30,31,31
14/03/2024 22:55:56,32,32,32
14/03/2024 22:55:57,29,29,30
14/03/2024 22:55:59,31,31,31
14/03/2024 22:56:00,32,31,32
14/03/2024 22:56:02,30,31,30
14/03/2024 22:56:04,32,31,32
14/03/2024 22:56:05,30,29,30
14/03/2024 22:56:07,30,30,30
14/03/2024 22:56:08,30,31,30
14/03/2024 22:56:10,31,31,31
14/03/2024 22:56:12,30,30,31
14/03/2024 22:56:13,31,30,31
14/03/2024 22:56:14,31,30,31
14/03/2024 22:56:16,31,31,31
14/03/2024 22:56:18,31,30,31
14/03/2024 22:56:19,30,31,30
14/03/2024 22:56:21,32,32,32
14/03/2024 22:56:22,31,31,31
14/03/2024 22:56:24,30,30,29
14/03/2024 22:56:25,32,32,32
14/03/2024 22:56:27,29,29,30
14/03/2024 22:56:29,31,32,32
14/03/2024 22:56:30,29,30,29
14/03/2024 22:56:32,30,29,30
14/03/2024 22:56:33,30,30,29
14/03/2024 22:56:35,31,30,31
14/03/2024 22:56:37,32,31,31
14/03/2024 22:56:38,30,30,29
14/03/2024 22:56:40,32,31,31
14/03/2024 22:56:41,32,32,32
14/03/2024 22:56:43,32,32,31
14/03/2024 22:56:45,32,32,32
14/03/2024 22:56:46,31,31,31
14/03/2024 22:56:48,30,31,30
14/03/2024 22:56:49,31,31,31
14/03/2024 22:56:51,31,31,31
14/03/2024 22:56:53,32,32,32
14/03/2024 22:56:54,31,31,31
14/03/2024 22:56:56,31,31,31
14/03/2024 22:56:58,30,32,30
14/03/2024 22:56:59,30,29,30
14/03/2024 22:57:01,32,32,31
14/03/2024 22:57:02,31,31,31
14/03/2024 22:57:04,31,31,31
14/03/2024 22:57:06,32,32,32
14/03/2024 22:57:07,31,31,31
14/03/2024 22:57:09,31,31,30
14/03/2024 22:57:11,32,32,32
14/03/2024 22:57:12,32,32,32
14/03/2024 22:57:14,32,32,32
14/03/2024 22:57:15,29,30,31
14/03/2024 22:57:17,32,32,31
14/03/2024 22:57:19,31,31,32
14/03/2024 22:57:20,31,31,32
14/03/2024 22:57:22,31,32,32
14/03/2024 22:57:23,30,30,30
14/03/2024 22:57:25,31,31,31
14/03/2024 22:57:26,31,30,30
14/03/2024 22:57:28,32,32,32
14/03/2024 22:57:30,29,29,29
14/03/2024 22:57:31,30,30,31
14/03/2024 22:57:33,32,32,32
14/03/2024 22:57:34,31,31,31
14/03/2024 22:57:36,32,31,31
14/03/2024 22:57:38,30,30,30
14/03/2024 22:57:39,30,30,31
14/03/2024 22:57:41,29,29,29
14/03/2024 22:57:43,29,32,32
14/03/2024 22:57:44,31,30,31
14/03/2024 22:57:46,32,32,32
14/03/2024 22:57:47,28,29,30
14/03/2024 22:57:49,30,30,30
14/03/2024 22:57:51,31,31,31
14/03/2024 22:57:52,32,32,32
14/03/2024 22:57:54,31,31,30
14/03/2024 22:57:55,30,30,31
14/03/2024 22:57:57,31,31,31
14/03/2024 22:57:59,32,32,32
14/03/2024 22:58:00,31,32,31
14/03/2024 22:58:02,31,31,31
14/03/2024 22:58:03,29,29,29
14/03/2024 22:58:05,31,31,29
14/03/2024 22:58:07,29,29,29
14/03/2024 22:58:08,32,32,32
14/03/2024 22:58:10,32,32,32
14/03/2024 22:58:12,32,32,32
14/03/2024 22:58:13,30,30,31
14/03/2024 22:58:15,31,31,31
14/03/2024 22:58:16,32,31,31
14/03/2024 22:58:18,32,31,30
14/03/2024 22:58:19,30,30,30
14/03/2024 22:58:21,32,31,31
14/03/2024 22:58:23,31,31,31
14/03/2024 22:58:24,30,31,31
14/03/2024 22:58:26,30,30,30
