date-time,RF1,RF2,RF3,RF4,ANN1,ANN2,ANN3,ANN4,ANN5
21/03/2024 11:35:15,38,37,37,38,37,37,37,37,37
21/03/2024 11:35:18,39,38,39,38,38,37,37,38,38
21/03/2024 11:35:20,36,35,35,36,38,38,38,38,37
21/03/2024 11:35:23,36,36,36,35,36,36,36,36,36
21/03/2024 11:35:25,39,38,39,39,40,39,38,40,39
21/03/2024 11:35:28,40,40,38,40,40,40,40,40,40
21/03/2024 11:35:30,39,40,39,39,39,39,38,39,39
21/03/2024 11:35:33,39,39,38,38,39,40,39,39,40
21/03/2024 11:35:36,39,39,39,39,40,40,39,39,40
21/03/2024 11:35:39,40,39,39,39,38,38,38,38,38
21/03/2024 11:35:41,37,39,38,39,39,37,39,39,39
21/03/2024 11:35:44,38,38,38,38,38,39,38,37,39
21/03/2024 11:35:46,38,38,37,37,38,38,38,38,38
21/03/2024 11:35:49,39,39,38,38,38,38,38,38,38
21/03/2024 11:35:51,38,38,38,38,40,39,39,40,40
21/03/2024 11:35:54,39,39,39,39,39,39,38,39,38
21/03/2024 11:35:57,38,40,40,38,39,40,40,40,40
21/03/2024 11:35:59,39,37,39,38,39,39,39,38,39
21/03/2024 11:36:02,39,37,38,39,38,39,39,38,38
21/03/2024 11:36:05,39,39,38,38,38,38,38,38,38
21/03/2024 11:36:07,38,38,37,38,38,38,38,39,37
21/03/2024 11:36:10,38,38,38,38,38,39,39,38,38
21/03/2024 11:36:13,40,40,38,40,40,40,40,40,40
21/03/2024 11:36:15,38,38,38,37,38,39,39,39,38
21/03/2024 11:36:18,39,40,39,40,40,40,40,40,40
21/03/2024 11:36:21,39,39,39,39,38,39,39,39,39
21/03/2024 11:36:24,37,36,37,36,38,38,38,38,38
21/03/2024 11:36:27,40,40,40,40,40,40,40,40,40
21/03/2024 11:36:30,38,37,36,36,39,39,39,37,38
21/03/2024 11:36:33,38,38,37,38,38,37,38,37,38
21/03/2024 11:36:36,38,38,38,38,38,38,38,39,38
21/03/2024 11:36:39,40,39,38,38,37,37,39,38,39
21/03/2024 11:36:41,39,39,38,38,38,38,39,38,38
21/03/2024 11:36:44,37,37,36,37,34,34,35,34,34
21/03/2024 11:36:47,39,39,39,40,39,39,40,40,40
21/03/2024 11:36:50,39,39,39,39,39,38,38,38,39
21/03/2024 11:36:52,40,40,40,40,40,40,40,40,40
21/03/2024 11:36:55,39,39,37,37,39,39,38,38,39
21/03/2024 11:36:58,38,37,37,39,39,39,39,39,39
21/03/2024 11:37:01,39,39,39,40,39,38,39,39,38
21/03/2024 11:37:04,38,38,37,37,38,39,39,39,39
21/03/2024 11:37:06,40,40,40,40,39,40,38,38,40
21/03/2024 11:37:09,38,38,39,38,39,37,38,38,37
21/03/2024 11:37:12,38,38,37,39,38,38,38,38,39
21/03/2024 11:37:15,36,39,36,39,39,38,38,39,38
21/03/2024 11:37:17,37,38,37,38,38,38,38,37,38
21/03/2024 11:37:20,39,39,39,39,37,37,37,37,37
21/03/2024 11:37:23,39,40,38,40,38,39,39,39,39
21/03/2024 11:37:26,40,39,39,40,40,40,40,40,40
21/03/2024 11:37:29,39,38,39,39,39,38,39,38,39
21/03/2024 11:37:32,40,40,40,39,40,40,40,40,40
21/03/2024 11:37:35,38,39,38,37,38,39,39,39,39
21/03/2024 11:37:38,39,38,38,38,39,38,39,39,38
21/03/2024 11:37:41,37,38,38,37,38,38,38,38,38
21/03/2024 11:37:44,37,37,37,37,38,38,38,38,38
21/03/2024 11:37:46,39,39,39,39,39,39,39,39,39
21/03/2024 11:37:49,37,38,37,37,36,36,36,37,36
21/03/2024 11:37:52,40,40,40,40,39,40,40,38,40
21/03/2024 11:37:55,39,40,39,39,40,40,40,40,40
21/03/2024 11:37:58,38,38,38,38,39,39,39,39,39
21/03/2024 11:38:00,37,37,37,37,37,38,38,38,38
21/03/2024 11:38:03,40,40,40,40,39,39,38,39,40
21/03/2024 11:38:06,37,38,38,36,38,38,38,38,38
21/03/2024 11:38:09,39,39,39,39,39,39,39,39,39
21/03/2024 11:38:13,39,39,38,39,38,39,38,39,38
21/03/2024 11:38:16,39,40,40,39,38,40,39,38,38
21/03/2024 11:38:19,39,40,38,40,39,38,39,39,39
21/03/2024 11:38:23,38,39,38,36,39,37,39,38,39
21/03/2024 11:38:26,37,39,37,39,37,37,37,37,37
21/03/2024 11:38:28,40,40,39,39,40,40,39,40,40
21/03/2024 11:38:31,39,39,39,39,39,39,39,39,39
21/03/2024 11:38:35,38,38,38,38,36,37,36,36,36
21/03/2024 11:38:37,39,39,39,38,39,39,39,39,39
21/03/2024 11:38:40,40,40,39,40,40,39,39,40,39
21/03/2024 11:38:43,38,38,37,37,40,38,39,39,38
21/03/2024 11:38:45,39,39,39,38,37,39,40,39,40
21/03/2024 11:38:48,37,37,39,38,38,39,37,38,37
21/03/2024 11:38:51,39,39,39,39,40,40,40,39,40
21/03/2024 11:38:53,37,37,35,37,37,38,38,38,37
21/03/2024 11:38:56,39,39,38,39,39,39,38,38,39
21/03/2024 11:38:58,39,39,38,38,39,38,36,38,38
21/03/2024 11:39:01,38,37,39,37,37,37,36,37,37
21/03/2024 11:39:04,39,40,40,40,40,39,40,40,40
21/03/2024 11:39:06,38,39,38,38,38,38,38,38,38
21/03/2024 11:39:09,38,38,38,38,39,39,38,38,39
21/03/2024 11:39:12,38,38,38,38,39,38,38,38,38
21/03/2024 11:39:14,38,39,39,37,40,40,40,40,40
21/03/2024 11:39:17,37,37,36,36,39,39,39,38,38
21/03/2024 11:39:20,38,40,39,39,39,38,39,38,38
21/03/2024 11:39:23,39,40,39,39,39,40,39,40,40
21/03/2024 11:39:25,40,40,40,39,40,40,40,40,40
21/03/2024 11:39:28,38,38,38,38,39,39,39,39,38
21/03/2024 11:39:31,39,39,39,39,38,38,38,37,38
21/03/2024 11:39:34,38,38,39,39,39,40,39,40,39
21/03/2024 11:39:37,39,40,39,39,40,39,39,39,40
21/03/2024 11:39:40,40,40,40,40,39,39,39,39,39
21/03/2024 11:39:43,39,38,38,38,39,38,39,39,39
21/03/2024 11:39:46,38,38,38,39,39,39,38,38,39
21/03/2024 11:39:48,38,39,39,38,37,38,39,37,39
21/03/2024 11:39:51,37,38,38,37,39,38,38,38,39
21/03/2024 11:39:54,38,36,37,39,37,37,37,37,37
21/03/2024 11:39:57,37,36,37,36,39,38,38,38,38
21/03/2024 11:39:59,38,37,37,38,38,38,38,38,38
21/03/2024 11:40:02,38,38,38,38,39,39,39,39,39
21/03/2024 11:40:05,40,40,38,40,40,40,40,39,40
21/03/2024 11:40:08,39,38,38,38,38,38,38,38,38
21/03/2024 11:40:11,37,38,37,37,38,38,38,38,39
21/03/2024 11:40:14,39,38,38,38,35,37,38,37,37
21/03/2024 11:40:16,36,35,36,36,35,36,37,36,35
21/03/2024 11:40:19,39,40,39,37,40,40,40,40,40
21/03/2024 11:40:22,37,38,37,37,38,38,38,38,38
21/03/2024 11:40:25,39,38,38,37,39,39,38,38,37
