date-time,RF1,RF2,RF3,RF4,ANN1,ANN2,ANN3,ANN4,ANN5
21/03/2024 11:17:42,39,39,39,39,39,39,39,39,38
21/03/2024 11:17:45,39,40,40,40,40,38,39,39,38
21/03/2024 11:17:48,38,38,39,39,38,39,39,39,39
21/03/2024 11:17:51,37,38,38,37,37,37,39,37,38
21/03/2024 11:17:54,38,39,38,39,40,39,40,40,39
21/03/2024 11:17:57,38,38,38,37,38,38,38,38,38
21/03/2024 11:18:00,38,38,39,38,38,38,38,37,38
21/03/2024 11:18:04,38,39,39,38,38,38,37,37,36
21/03/2024 11:18:07,39,38,39,39,37,38,39,38,38
21/03/2024 11:18:10,39,39,38,39,40,40,40,40,40
21/03/2024 11:18:12,39,40,39,39,40,40,40,38,40
21/03/2024 11:18:15,38,36,35,37,37,37,37,38,37
21/03/2024 11:18:18,38,39,37,38,38,40,39,39,38
21/03/2024 11:18:21,39,38,39,38,38,38,38,38,38
21/03/2024 11:18:24,39,39,39,39,38,38,38,38,38
21/03/2024 11:18:27,38,36,38,37,38,38,38,38,38
21/03/2024 11:18:30,40,40,40,40,39,39,39,39,39
21/03/2024 11:18:33,38,37,37,38,38,38,38,38,38
21/03/2024 11:18:36,38,37,38,38,36,36,36,38,37
21/03/2024 11:18:39,40,40,39,39,38,38,38,39,39
21/03/2024 11:18:41,37,38,37,38,38,38,38,36,39
21/03/2024 11:18:44,39,37,37,37,39,39,39,40,38
21/03/2024 11:18:46,38,38,37,37,35,35,39,38,35
21/03/2024 11:18:49,39,39,38,39,37,38,38,38,38
21/03/2024 11:18:51,37,37,37,38,37,37,38,38,38
21/03/2024 11:18:54,38,38,37,39,39,39,39,39,39
21/03/2024 11:18:56,38,38,38,38,38,37,37,36,37
21/03/2024 11:18:59,39,37,36,39,39,38,39,39,39
21/03/2024 11:19:01,38,38,38,38,39,39,39,39,39
21/03/2024 11:19:04,36,34,34,35,37,37,37,37,37
21/03/2024 11:19:06,39,39,39,39,39,39,39,39,39
21/03/2024 11:19:09,38,37,37,37,37,37,37,37,37
21/03/2024 11:19:11,38,38,38,38,39,38,38,39,39
21/03/2024 11:19:14,38,37,38,37,38,38,37,36,38
21/03/2024 11:19:16,38,39,38,39,38,38,37,37,37
21/03/2024 11:19:19,40,39,39,39,40,40,40,39,39
21/03/2024 11:19:22,38,39,37,38,40,40,40,40,40
21/03/2024 11:19:24,39,39,39,39,38,38,38,38,38
21/03/2024 11:19:27,40,40,40,40,40,36,37,38,37
21/03/2024 11:19:30,37,37,35,37,39,39,39,38,38
21/03/2024 11:19:33,37,38,38,37,38,37,38,39,37
21/03/2024 11:19:35,39,38,38,39,35,38,38,37,39
21/03/2024 11:19:38,39,39,39,39,39,39,39,39,38
21/03/2024 11:19:40,38,38,38,38,40,40,40,40,40
21/03/2024 11:19:43,40,38,37,39,38,38,38,38,38
21/03/2024 11:19:46,39,38,37,38,37,37,37,37,38
21/03/2024 11:19:48,40,40,40,40,40,40,40,40,40
21/03/2024 11:19:51,38,37,38,39,38,38,38,38,38
21/03/2024 11:19:53,40,40,39,39,40,40,40,40,39
21/03/2024 11:19:56,38,39,38,39,38,37,36,36,36
21/03/2024 11:19:58,38,38,39,38,39,39,40,39,39
21/03/2024 11:20:01,39,38,39,39,40,40,39,40,39
21/03/2024 11:20:04,39,39,39,39,40,38,40,40,40
21/03/2024 11:20:07,39,39,39,39,39,39,39,39,39
21/03/2024 11:20:10,40,39,40,40,40,40,39,40,39
21/03/2024 11:20:13,37,36,37,37,37,38,38,36,38
21/03/2024 11:20:15,38,39,39,39,38,35,34,35,35
21/03/2024 11:20:18,38,39,37,38,39,39,39,39,39
21/03/2024 11:20:21,40,40,39,40,39,38,38,39,39
21/03/2024 11:20:23,37,37,36,36,37,37,36,37,37
21/03/2024 11:20:26,40,39,39,38,39,38,38,38,38
21/03/2024 11:20:28,35,36,36,34,35,35,35,35,36
21/03/2024 11:20:31,40,39,40,40,39,39,40,40,40
21/03/2024 11:20:34,39,40,39,39,40,38,38,39,39
21/03/2024 11:20:36,39,38,39,39,39,39,39,39,39
21/03/2024 11:20:39,37,36,36,35,35,35,36,35,36
21/03/2024 11:20:41,40,39,39,38,40,40,40,40,40
21/03/2024 11:20:44,38,38,38,37,38,38,38,38,37
21/03/2024 11:20:47,39,38,37,37,39,40,40,39,40
21/03/2024 11:20:49,39,39,39,39,39,38,38,38,38
21/03/2024 11:20:53,37,37,38,36,38,38,37,38,37
21/03/2024 11:20:57,36,35,36,35,37,38,37,38,37
21/03/2024 11:21:00,38,38,36,37,39,40,40,40,39
21/03/2024 11:21:03,38,38,38,38,38,38,38,37,38
21/03/2024 11:21:06,39,39,39,39,39,38,38,40,39
21/03/2024 11:21:09,40,39,38,39,40,39,39,39,39
21/03/2024 11:21:11,39,40,40,39,40,40,40,40,40
21/03/2024 11:21:14,36,38,38,37,37,37,36,37,36
21/03/2024 11:21:16,38,37,37,38,39,39,39,38,39
